"client_ip","client_port","server_ip","server_port","packets","bytes","packets_cli_to_srv","bytes_cli_to_srv","packets_srv_to_cli","bytes_srv_to_cli","start_time","duration","bits/s_cli_to_srv","bits/s_srv_to_cli"
"192.168.11.9",59224,"13.94.40.40",443,117,10491,78,6513,39,3978,0,2092.2669,24.903132578353173,15.210296544862416
"192.168.11.9",57624,"52.114.36.22",443,388,55849,118,17682,270,38167,0.635524,2124.135323,66.59462721999091,143.74602064842176
"192.168.11.9",56526,"3.20.29.163",443,457,36316,167,14758,290,21558,3.065136,2134.589298,55.3099371905499,80.79493332117325
"192.168.11.9",62154,"35.244.0.250",443,133,11455,64,6637,69,4818,3.119504,2098.322478,25.304022883369218,18.368959206278873
"192.168.11.9",55853,"172.217.31.174",443,3130,2670587,944,152624,2186,2517963,4.764201,2130.154103,573.1942108227839,9456.453864831019
"192.168.11.9",56760,"40.90.189.152",443,146,18452,97,7394,49,11058,4.972654,2115.1219039999996,27.966236786700126,41.82453967910873
"192.168.11.9",63770,"52.114.7.78",443,194,25222,122,11342,72,13880,6.359265,2100.499314,43.19734807587754,52.86362116850469
"192.168.11.9",56499,"52.170.57.27",443,26,12838,13,5533,13,7305,6.788874,124.684191,355.00892009637374,468.7041679566257
"192.168.11.9",54812,"108.177.125.189",443,367,80117,155,15398,212,64719,6.933892,2102.69,58.584004299254765,246.23315847794967
"192.168.11.9",62052,"23.48.228.191",443,535,60776,321,30816,214,29960,9.755703,2120.056258,116.28370665624101,113.05360369356764
"192.168.11.9",56085,"172.217.25.78",443,46,5427,19,1859,27,3568,11.853312,300.459952,49.49744517033005,95.00101364590513
"192.168.11.9",55836,"216.58.197.234",443,7,447,3,163,4,284,12.134535,14.972761000000002,87.09148566520228,151.74222042280644
"192.168.11.9",49568,"133.78.99.20",993,44,2649,22,1209,22,1440,14.215214,2055.201809,4.706107185019512,5.60528895486195
"192.168.11.9",56520,"13.35.55.180",443,250,94159,117,13368,133,80791,14.663163,543.1680279999999,196.88935004841636,1189.9227618014368
"192.168.11.9",56522,"3.235.72.190",443,43,16911,20,3812,23,13099,14.663879,180.901492,168.57793522233638,579.2765932521994
"192.168.11.9",56524,"13.226.77.31",443,65,12919,31,3086,34,9833,15.47789,542.3546699999999,45.520028434529756,145.04162008967307
"192.168.11.9",56528,"104.18.70.113",443,43,6845,20,2153,23,4692,15.616211,400.060819,43.053453829978785,93.82573403170481
"192.168.11.9",56596,"64.233.188.188",443,99,9119,49,2691,50,6428,15.71334,2117.4790070000004,10.166806815478381,24.285482798177274
"192.168.11.9",56529,"13.226.77.101",443,65,12465,30,3000,35,9465,15.727191,542.51058,44.238768578485605,139.5733148651221
"192.168.11.9",56531,"104.18.71.113",443,43,6800,20,2136,23,4664,15.792292,400.055872,42.71403370377225,93.26697246928549
"192.168.11.9",56533,"3.80.20.234",443,22,7434,10,2016,12,5418,15.998892,110.744997,145.63186091377113,391.3856262057599
"192.168.11.9",56534,"143.204.122.37",443,65,12857,29,3076,36,9781,16.228506,542.0739169999999,45.39602299293069,144.34931758577864
"192.168.11.9",55882,"143.204.121.190",443,33,2928,15,1083,18,1845,16.952826,328.015543,26.41338249023157,44.99786767726431
"192.168.11.9",56537,"104.16.53.111",443,104,20217,45,8050,59,12167,17.174177,702.913168,91.61871328038629,138.47514092949814
"192.168.11.9",56540,"13.114.185.55",443,143,18585,68,5497,75,13088,17.719337,2118.351244,20.759541234985107,49.427119462158466
"192.168.11.9",56545,"3.235.72.190",443,45,25340,23,9199,22,16141,20.339022,334.39315,220.07627847639822,386.15623555685875
"192.168.11.9",56546,"3.235.72.190",443,36,17883,19,5899,17,11984,20.339436,334.394267,141.12682141168406,286.7034798775423
"192.168.11.9",56547,"3.235.72.254",443,22,8510,11,2828,11,5682,20.427559,91.238665,247.96504858987143,498.2098324213753
"192.168.11.9",56554,"3.235.71.135",443,26,12559,14,4964,12,7595,23.131604,16.872403000000002,2353.6659241721522,3601.1467957468767
"192.168.11.9",56173,"216.58.220.142",443,221,50148,96,29358,125,20790,23.813986,765.780398,306.69889254595415,217.19020287589026
"192.168.11.9",60457,"52.114.6.61",443,235,26338,127,16004,108,10334,27.865483,2085.105008,61.403142531802885,39.64884247211016
"192.168.11.9",52171,"40.74.219.49",443,154,87289,77,73447,77,13842,35.341851,2072.437547,283.5192794352514,53.432731982827754
"192.168.11.9",56585,"3.235.71.135",443,29,17663,14,3109,15,14554,35.731102,4.262839,5834.609282686961,27313.252975305895
"192.168.11.9",55667,"172.217.26.35",443,13,810,6,328,7,482,38.658207,149.991899,17.494278140981468,25.708055073027644
"192.168.11.9",56610,"3.235.72.190",443,35,23922,15,3211,20,20711,47.32286,64.94579100000001,395.52986582302145,2551.173793541139
"192.168.11.9",56614,"3.235.71.135",443,55,40125,23,5787,32,34338,48.636334,306.076393,151.25635644824135,897.5014286711096
"192.168.11.9",56615,"18.205.93.224",443,221,23214,145,11719,76,11495,48.659117,2067.271275,45.35060353895741,44.48376036183253
"192.168.11.9",56564,"40.90.189.152",443,105,15328,70,7383,35,7945,49.267244,2040.138529,28.95097522076159,31.154747139232132
"192.168.11.9",56618,"18.205.93.209",443,427,74594,230,37802,197,36792,49.526057,2075.260088,145.72438498128145,141.8308971015107
"192.168.11.9",56619,"3.235.71.135",443,31,19133,13,4308,18,14825,49.565761,147.82940499999998,233.13359070883092,802.2761100878408
"192.168.11.9",56622,"18.177.216.52",443,25,7893,12,2246,13,5647,50.58323,0.0806129999999996,222892.08936523995,560405.8898688825
"192.168.11.9",56623,"18.163.141.56",443,13,5541,5,799,8,4742,50.594075,0.11186000000000007,57142.85714285711,339138.2084748791
"192.168.11.9",56624,"18.180.23.126",443,20,7604,11,2192,9,5412,50.594391,0.06079199999999929,288459.00776418287,712198.9735491595
"192.168.11.9",56625,"18.163.203.101",443,11,5441,5,799,6,4642,50.59463,0.16355899999999934,39080.6987081116,227049.56621158205
"192.168.11.9",56629,"52.68.4.56",443,14728,1627806,6051,817249,8677,810557,50.698597,2087.914254,3131.350814562714,3105.7099148478733
"192.168.11.9",56630,"18.205.93.247",443,21,9392,11,3282,10,6110,50.818326,303.906185,86.39508274568351,160.8391089506783
"192.168.11.9",56631,"18.205.93.247",443,21,8704,11,3243,10,5461,50.818648,303.908704,85.36774254415563,143.75369782104036
"192.168.11.9",56632,"52.202.62.222",443,21,8473,11,3047,10,5426,50.818874,303.901704,80.21014584373637,142.83565846672582
"192.168.11.9",56633,"18.205.93.247",443,21,8748,11,3274,10,5474,50.819077,303.909844,86.18345380085812,144.09536533472735
"192.168.11.9",56639,"3.235.72.254",443,19,7611,10,2029,9,5582,53.659835,143.56188400000002,113.06622306516957,311.0574948988549
"192.168.11.9",56665,"20.189.73.166",443,28,9918,15,3458,13,6460,64.205714,0.32384700000000066,85423.05471410864,159581.53078459858
"192.168.11.9",56681,"172.217.24.142",443,38,5762,19,2697,19,3065,69.799525,240.06478999999996,89.87573729575254,102.13909336725308
"192.168.11.9",63833,"133.78.99.20",993,42,2528,21,1154,21,1374,86.389342,1983.028526,4.655505394378779,5.54303675205931
"192.168.11.9",57123,"18.205.93.255",443,22,8924,12,3135,10,5789,197.256244,1657.26495,15.133367781657363,27.94483766762822
"192.168.11.9",57160,"52.202.62.236",443,141,90060,60,24370,81,65690,214.213388,283.434787,687.8478187647447,1854.1125652300402
"192.168.11.9",57161,"216.58.220.109",443,1149,1050915,293,45745,856,1005170,214.849318,251.094974,1457.4564921399024,32025.173072560185
"192.168.11.9",57164,"172.217.161.65",443,146,90150,46,4901,100,85249,215.617909,248.77344800000003,157.60524410949193,2741.4179667598605
"192.168.11.9",57167,"172.217.26.35",443,116,39865,43,7754,73,32111,216.235593,272.528673,227.61641671370114,942.6090736514905
"192.168.11.9",57168,"216.58.197.174",443,64,33469,24,4128,40,29341,216.783269,243.938996,135.37810904165565,962.2405759184153
"192.168.11.9",57171,"172.217.31.174",443,44,6299,20,3346,24,2953,217.472946,243.549519,109.90783356874542,96.99875449148392
"192.168.11.9",57183,"172.217.26.46",443,50,6862,23,3401,27,3461,222.788403,289.38038299999994,94.02157712950434,95.68029357401191
"192.168.11.9",57184,"13.35.55.153",443,44,9818,21,2452,23,7366,222.884086,240.03052799999998,81.7229381755974,245.50210546551816
"192.168.11.9",57187,"31.13.82.7",443,28,5481,12,1659,16,3822,223.2535,65.03363599999997,204.07900920686652,470.15670475505954
"192.168.11.9",57188,"31.13.82.36",443,27,5148,13,2322,14,2826,223.339754,65.04224500000001,285.59899800506577,347.5894781922118
"192.168.11.9",57189,"172.217.26.10",443,85,14050,35,4830,50,9220,223.584487,302.9854230000001,127.5308878473668,243.44405506267535
"192.168.11.9",57190,"216.58.197.234",443,63,7377,27,3350,36,4027,223.60371,288.16995,93.00067546945823,111.79514033298754
"192.168.11.9",57236,"13.107.42.23",443,52,35854,20,2955,32,32899,244.725689,121.07245799999998,195.25497698246122,2173.8387437380684
"192.168.11.9",57265,"52.159.49.199",443,25,13155,12,4228,13,8927,256.038684,125.81443100000001,268.84038445478484,567.6296386064012
"192.168.11.9",57268,"40.74.219.49",443,25,12941,12,4252,13,8689,256.687886,125.47585300000003,271.09598529686815,553.9870687310648
"192.168.11.9",57288,"74.125.171.235",443,24,8268,12,1802,12,6466,265.611852,139.367997,103.43838119450048,371.16125016850174
"192.168.11.9",57289,"74.125.171.235",443,24,8274,12,1808,12,6466,265.612272,139.36830099999997,103.78256674019441,371.16044056531916
"192.168.11.9",57290,"172.217.175.118",443,102,56921,37,3980,65,52941,265.640183,250.72337700000003,126.99254605205799,1689.2242162165835
"192.168.11.9",57291,"172.217.25.227",443,14,2232,8,1092,6,1140,265.968721,68.728702,127.10846772575452,132.69565312029317
"192.168.11.9",57296,"172.217.25.66",443,105,24148,46,17602,59,6546,268.074623,313.640095,448.9732092448193,166.96844834203995
"192.168.11.9",57299,"74.125.171.235",443,25,11632,12,3623,13,8009,268.731397,136.24816499999997,212.72947052167643,470.25954441294687
"192.168.11.9",57300,"74.125.171.235",443,38,21097,19,8663,19,12434,268.731823,136.24884199999997,508.65753413155625,730.0759297462508
"192.168.11.9",57303,"52.13.236.243",443,34,12083,17,4820,17,7263,269.610804,60.53092000000004,637.0298022894741,959.9061107942844
"192.168.11.9",57305,"216.58.197.129",443,50,14217,22,2737,28,11480,269.670356,242.68502399999994,90.22394393813111,378.4329106356395
"192.168.11.9",57306,"74.125.170.107",443,719,741220,214,29041,505,712179,269.714735,6.708177999999975,34633.547291082745,849326.29992824
"192.168.11.9",57307,"74.125.170.107",443,498,490752,162,21370,336,469382,269.715229,6.70879199999996,25482.9781576178,559721.630958304
"192.168.11.9",57312,"172.217.25.227",443,207,178795,65,5608,142,173187,271.252269,289.12754,155.1702753739751,4791.989030169869
"192.168.11.9",57313,"172.217.26.46",443,113,107965,31,2852,82,105113,271.262757,0.5156939999999963,44243.29156437764,1630625.9138171203
"192.168.11.9",57314,"172.217.25.227",443,75,49013,30,2961,45,46052,271.435138,240.029431,98.68789798530999,1534.8784458019234
"192.168.11.9",57315,"172.217.27.78",443,20,9355,8,2063,12,7292,271.823792,0.31106499999998505,53056.43515021231,187536.3669972604
"192.168.11.9",57316,"172.217.175.67",443,39,5503,18,2789,21,2714,272.093521,240.09475899999995,92.92997520199933,90.43096188534463
"192.168.11.9",57317,"172.217.25.196",443,223,96801,81,15001,142,81800,272.09458,288.20650700000004,416.3958726997097,2270.594119514449
"192.168.11.9",57321,"172.217.175.118",443,119,120648,31,2143,88,118505,272.697308,60.38641999999999,283.90489119904777,15699.55629096741
"192.168.11.9",57324,"74.125.170.107",443,35,17168,16,6197,19,10971,274.118734,130.963126,378.5493024960324,670.1733738395952
"192.168.11.9",57327,"172.217.31.170",443,38,5012,18,2411,20,2601,274.337199,240.23670099999998,80.2874828022218,86.61457601351262
"192.168.11.9",57328,"172.217.161.70",443,31,4257,16,2231,15,2026,274.347625,240.03937499999995,74.354467886779,67.5222554632964
"192.168.11.9",57329,"172.217.31.170",443,38,6119,18,3081,20,3038,274.568043,240.32081000000005,102.56290331245137,101.13148337008349
"192.168.11.9",57332,"52.114.158.91",443,29,13244,15,5458,14,7786,275.208072,138.249164,315.83554458238893,450.5488365918798
"192.168.11.9",57342,"172.217.25.196",443,38,5576,17,2290,21,3286,279.657705,240.09504699999997,76.30311507425641,109.48997211091991
"192.168.11.9",57349,"133.78.99.40",443,18,7634,9,2962,9,4672,281.431989,0.09849500000001399,240580.7401390592,379471.0391389887
"192.168.11.9",57350,"133.78.99.40",443,34,24325,13,3130,21,21195,281.432664,0.6683869999999956,37463.32588754743,253685.36491583634
"192.168.11.9",57351,"172.217.161.78",443,84,9454,37,4433,47,5021,281.472996,249.04308499999996,142.401062852237,161.2893608348933
"192.168.11.9",57353,"133.78.99.40",443,139,133773,44,4473,95,129300,281.629046,0.6957229999999868,51434.26334906375,1486798.6253149884
"192.168.11.9",57354,"133.78.99.40",443,19,10127,8,2481,11,7646,282.187994,0.09504600000002483,208825.20042921128,643562.0646843005
"192.168.11.9",57355,"133.78.99.40",443,14,3927,7,2427,7,1500,282.189547,0.0675200000000018,287559.2417061535,177725.11848340757
"192.168.11.9",57356,"133.78.99.40",443,102,101588,29,3607,73,97981,282.191942,0.17603500000001304,163921.94734000546,4452796.318913522
"192.168.11.9",57357,"133.78.99.40",443,17,6862,8,2465,9,4397,282.192941,0.09307699999999386,211867.59349787058,377923.65460857487
"192.168.11.9",57361,"133.78.99.40",443,51,42813,17,2951,34,39862,282.397551,0.07747299999999768,304725.51727699593,4116221.1351052565
"192.168.11.9",57362,"133.78.99.40",443,27,16628,11,2723,16,13905,282.983369,0.14633600000001934,148862.8908812399,760168.3796194054
"192.168.11.9",57367,"133.78.99.40",443,60,50551,19,3219,41,47332,284.514208,0.8513040000000274,30250.06343209849,444795.2787723162
"192.168.11.9",57368,"133.78.99.40",443,19,4538,9,2908,10,1630,284.514974,0.14556800000002568,159815.34403162712,89580.12750053377
"192.168.11.9",57369,"133.78.99.40",443,17,3913,8,2561,9,1352,284.893403,0.9873550000000364,20750.38866466392,10954.519904188059
"192.168.11.9",57373,"133.78.99.40",443,15,3885,8,2593,7,1292,286.192916,0.07729399999999487,268377.8818537193,133723.18679329168
"192.168.11.9",57374,"133.78.99.40",443,16,3763,8,2593,8,1170,286.194613,0.11683699999997543,177546.4964010062,80111.6084802072
"192.168.11.9",57376,"133.78.99.40",443,16,3683,8,2513,8,1170,286.209253,0.051341000000036274,391577.88122525456,182310.43415580894
"192.168.11.9",57379,"172.217.161.74",443,40,8248,18,2400,22,5848,286.610008,240.10332600000004,79.9655728217609,194.84944577569073
"192.168.11.9",57386,"133.78.99.40",443,247,258412,69,6039,178,252373,290.261451,0.5002029999999991,96584.78657665006,4036329.250324376
"192.168.11.9",57388,"133.78.99.40",443,16,3971,8,2673,8,1298,290.261924,0.08196499999996831,260891.84407989102,126688.2205820047
"192.168.11.9",57391,"133.78.99.40",443,17,3945,8,2593,9,1352,290.458153,0.3174380000000383,65348.19397802877,34072.79531750671
"192.168.11.9",57394,"133.78.99.40",443,16,3971,8,2609,8,1362,291.427453,0.07125500000000784,292919.7951020659,152915.5848712203
"192.168.11.9",57395,"133.78.99.40",443,16,3795,8,2625,8,1170,291.440925,0.09971100000001343,210608.65902455267,93871.28802237206
"192.168.11.9",57396,"133.78.99.40",443,15,3661,8,2545,7,1116,291.454199,0.07342499999998608,277289.75144710735,121593.46271708126
"192.168.11.9",57397,"133.78.99.40",443,19,7210,9,2647,10,4563,291.847201,0.09788200000002689,216342.12623356882,372938.8447313088
"192.168.11.9",57398,"133.78.99.40",443,16,3763,8,2577,8,1186,291.847981,0.08916399999998248,231214.39145848158,106410.65901038384
"192.168.11.9",57416,"133.78.99.40",443,16,4131,8,2785,8,1346,299.12721,0.10918800000001738,204051.72729600736,98618.89584934503
"192.168.11.9",57417,"133.78.99.40",443,17,5070,9,2839,8,2231,299.266646,0.06011300000000119,377821.7690017059,296907.49089214724
"192.168.11.9",57420,"133.78.99.40",443,15,4205,8,2801,7,1404,299.391166,0.07290299999999661,307367.32370411424,154067.73383812082
"192.168.11.9",57421,"133.78.99.40",443,22,11073,10,2909,12,8164,299.392211,0.1204490000000078,193210.40440351097,542237.7935889527
"192.168.11.9",57422,"133.78.99.40",443,28,18042,11,2963,17,15079,299.393899,0.12085300000001098,196139.11115154647,998171.3321141307
"192.168.11.9",57423,"133.78.99.40",443,18,6868,9,3063,9,3805,299.902892,0.09775700000000143,250662.35665987746,311384.35099276324
"192.168.11.9",57424,"133.78.99.40",443,22,11105,10,2925,12,8180,299.904824,0.10977399999995896,213165.23038250176,596133.8750526032
"192.168.11.9",57432,"133.78.99.40",443,36,25322,16,9446,20,15876,303.115189,0.587333000000001,128662.95610837442,216245.29866361976
"192.168.11.9",57436,"133.78.99.40",443,22,11121,10,2861,12,8260,303.757362,0.08655099999998583,264445.24037854845,763480.4912711675
"192.168.11.9",57437,"133.78.99.40",443,18,7476,9,3015,9,4461,303.758117,0.07049999999998136,342127.65957455855,506212.7659575807
"192.168.11.9",57480,"133.78.99.40",443,18,5252,9,2679,9,2573,321.859402,0.09072300000002542,236235.57422036302,226888.44063792238
