"client_ip","client_port","server_ip","server_port","packets","bytes","packets_cli_to_srv","bytes_cli_to_srv","packets_srv_to_cli","bytes_srv_to_cli","start_time","duration","bits/s_cli_to_srv","bits/s_srv_to_cli"
"192.168.11.9",57481,"133.78.99.40",443,16,3763,8,2577,8,1186,321.863337,0.08033199999999852,256634.96489568765,118109.844146793
"192.168.11.9",57510,"133.78.99.40",443,37,26208,16,10166,21,16042,334.693159,0.3167100000000005,256790.12345678973,405216.12831928197
"192.168.11.9",57511,"133.78.99.40",443,19,7706,9,3015,10,4691,335.036898,0.11983900000001313,201270.03730002217,313153.48092020035
"192.168.11.9",57513,"133.78.99.40",443,23,11175,10,2861,13,8314,335.037414,0.13735099999996692,166638.757635587,484248.38552333816
"192.168.11.9",57523,"133.78.99.40",443,23,11394,13,10004,10,1390,338.372793,0.3626310000000217,220698.1752800925,30664.780451752154
"192.168.11.9",57524,"133.78.99.40",443,17,3945,8,2593,9,1352,338.804813,0.7447429999999713,27853.90396418738,14523.130798141663
"192.168.11.9",57525,"133.78.99.40",443,234,254893,56,5297,178,249596,338.805659,0.6238569999999868,67925.82274463683,3200682.207621366
"192.168.11.9",57528,"133.78.99.40",443,16,3971,8,2609,8,1362,339.73001,0.07522699999998395,277453.5738498738,144841.61271886856
"192.168.11.9",57529,"133.78.99.40",443,16,3795,8,2625,8,1170,339.731912,0.10186499999997523,206155.20541898697,91886.32012960562
"192.168.11.9",57530,"133.78.99.40",443,15,3661,8,2545,7,1116,339.735334,0.06069800000000214,335431.1509440061,147088.8661899846
"192.168.11.9",57531,"133.78.99.40",443,16,3763,8,2577,8,1186,339.986198,0.5737369999999942,35932.84030836465,16537.193871059557
"192.168.11.9",57532,"133.78.99.40",443,19,7210,9,2647,10,4563,339.98714,0.598735999999974,35367.84158627663,60968.44018064988
"192.168.11.9",57553,"172.217.31.170",443,35,7386,17,2749,18,4637,348.474773,240.021522,91.62511685097972,154.55280714368607
"192.168.11.9",57566,"52.202.62.233",443,19,8732,9,2974,10,5758,354.834985,65.91513599999996,360.94896322447113,698.8379725105934
"192.168.11.9",57587,"3.12.230.238",443,29,12089,12,3281,17,8808,364.164972,60.978183,430.4490345342038,1155.5608339461344
"192.168.11.9",57598,"172.217.27.67",443,46,6486,23,3002,23,3484,368.888084,240.10933500000004,100.02110080393166,116.0804514326775
"192.168.11.9",57679,"143.204.121.27",443,33,3555,16,1901,17,1654,405.002064,240.03691400000002,63.356921844112684,55.12485467131109
"192.168.11.9",57723,"172.217.25.78",443,66,13256,31,6545,35,6711,423.795523,411.48002499999996,127.24797515991209,130.47534931981207
"192.168.11.9",57796,"13.88.28.53",443,20,8002,12,3120,8,4882,456.29798,0.9171660000000088,27214.266555890383,42583.349142902836
"192.168.11.9",57799,"20.190.141.194",443,25,12580,13,3587,12,8993,457.004817,1.0802170000000046,26565.03276656438,66601.43286024909
"192.168.11.9",57802,"52.109.112.35",443,21,11408,10,2068,11,9340,458.08907,110.09783100000004,150.26635720007957,678.6691374510364
"192.168.11.9",57803,"20.190.141.226",443,68,62762,25,5782,43,56980,458.123347,108.55295599999994,426.11460529918713,4199.24078345688
"192.168.11.9",57804,"20.190.141.226",443,21,10863,12,4609,9,6254,458.16267,0.10973300000000563,336015.60150545515,455943.06179542554
"192.168.11.9",57809,"52.109.44.29",443,37,28139,21,17366,16,10773,460.227331,0.41716000000002396,333032.8890593346,206596.98916481697
"192.168.11.9",57813,"69.192.132.150",443,49,21835,20,1971,29,19864,461.255232,44.90357,351.15248074930344,3538.9613787946037
"192.168.11.9",57825,"117.18.237.29",80,8,1487,5,514,3,973,466.552704,0.4305800000000204,9549.909424496738,18077.941381391684
"192.168.11.9",57951,"52.109.12.23",443,72,32620,36,13536,36,19084,522.523805,149.6980259999999,723.3762721760944,1019.8664877518164
"192.168.11.9",57956,"37.218.245.50",443,40,12849,18,2675,22,10174,524.913822,117.66894300000001,181.86617007344068,691.703332458761
"192.168.11.9",57968,"23.35.196.86",443,23,8990,12,1284,11,7706,529.535628,500.08527600000014,20.54049677719365,123.27497520642856
"192.168.11.9",58012,"52.109.12.20",443,25,17337,10,2151,15,15186,548.147275,121.03539599999999,142.17328623438388,1003.7394350327073
"192.168.11.9",58013,"172.217.26.35",443,36,4662,17,2168,19,2494,548.715563,240.06588699999998,72.24683280386273,83.11051707234023
"192.168.11.9",58014,"52.114.159.32",443,26,12838,13,5533,13,7305,548.806342,127.90383100000008,346.0725113073429,456.9057825953623
"192.168.11.9",58018,"216.58.220.142",443,70,15390,31,8853,39,6537,549.130569,241.54757299999994,293.2093215442906,216.50393481701434
"192.168.11.9",58330,"3.12.112.141",443,27,11914,12,3156,15,8758,690.306554,61.013765000000035,413.8082611358271,1148.3310364472666
"192.168.11.9",58346,"172.217.25.67",443,35,4338,17,2062,18,2276,697.931167,240.12826800000005,68.69661842561575,75.82614138540322
"192.168.11.9",58347,"172.217.31.131",443,77,19389,37,12022,40,7367,697.945337,265.255543,362.5786624937749,222.18574335315589
"192.168.11.9",58348,"172.217.175.16",443,56,13492,24,2398,32,11094,698.155479,99.33115799999996,193.13174623414747,893.4960770315397
"192.168.11.9",58349,"69.192.132.251",443,29,15353,14,1838,15,13515,698.272258,120.89592200000004,121.62527698825106,894.3229698020746
"192.168.11.9",58354,"52.113.194.132",443,40,32572,12,1893,28,30679,698.493212,63.37651800000003,238.9528563244827,3872.6015209608054
"192.168.11.9",58357,"52.139.168.125",443,22,6563,12,1998,10,4565,699.805813,0.3064510000000382,52158.42010630739,119170.76465730392
"192.168.11.9",58359,"13.94.40.236",443,32,10012,15,2552,17,7460,700.057443,121.32043999999996,168.28161849726234,491.9204051683296
"192.168.11.9",58362,"52.114.74.43",443,16,7661,8,2439,8,5222,700.365898,123.81419099999994,157.59098244239232,337.408819317004
"192.168.11.9",58363,"216.58.220.142",443,60,21056,32,17956,28,3100,700.982126,240.14385800000002,598.1747823839825,103.27143157665101
"192.168.11.9",58372,"143.204.121.37",443,32,3500,15,1847,17,1653,705.072611,240.02671799999996,61.559813520426516,55.09386667529238
"192.168.11.9",58397,"172.217.175.14",80,30,8991,16,2611,14,6380,715.012464,82.47408199999995,253.26744467431612,618.861086565353
"192.168.11.9",58398,"13.107.42.23",443,58,41825,19,2482,39,39343,715.086364,126.18266700000004,157.35917200101653,2494.3520967107147
"192.168.11.9",58399,"173.194.49.7",80,39,23023,18,3457,21,19566,715.09067,82.396076,335.64705192999725,1899.7021168823624
"192.168.11.9",58402,"52.114.32.24",443,17,7972,9,3090,8,4882,715.595592,0.088867999999934,278165.36886188906,439483.2785707904
"192.168.11.9",58526,"52.114.74.44",443,30,17719,16,9900,14,7819,772.793703,6.465196999999989,12250.206760907693,9675.18855187245
"192.168.11.9",58527,"52.114.74.44",443,18,7760,9,1109,9,6651,773.016496,73.00298200000009,121.52928218740419,728.8469394305007
"192.168.11.9",58568,"52.139.168.125",443,22,6410,12,1842,10,4568,789.003558,0.3208479999999554,45928.29003142313,113898.16984991361
"192.168.11.9",58571,"52.139.168.125",443,22,6093,12,1525,10,4568,789.97705,0.343654000000015,35500.82350270757,106339.51590843814
"192.168.11.9",58572,"52.139.168.125",443,22,5886,12,1333,10,4553,790.311515,0.2997689999999693,35574.05869186304,121506.89364144969
"192.168.11.9",58575,"52.114.32.24",443,18,8139,10,3256,8,4883,791.271912,0.047031999999944674,553835.686341866,830583.4325575343
"192.168.11.9",58578,"52.139.168.125",443,23,6603,12,1908,11,4695,791.605869,0.37459499999999935,40748.00784847642,100268.28975293334
"192.168.11.9",58579,"52.139.168.125",443,22,5906,12,1345,10,4561,791.984113,0.30137999999999465,35702.43546353504,121069.74583582404
"192.168.11.9",58580,"52.139.168.125",443,22,6540,12,1971,10,4569,792.308746,0.32881299999996827,47954.30837589001,111163.48806161413
"192.168.11.9",58584,"52.139.168.125",443,23,8579,12,1870,11,6709,792.722291,0.3073739999999816,48670.34947653639,174614.63884389444
"192.168.11.9",58585,"52.139.168.125",443,22,5925,12,1365,10,4560,793.056745,0.32292100000006485,33816.3204003388,112968.80661212084
"192.168.11.9",58594,"172.217.161.46",443,40,6034,19,2885,21,3149,796.778439,240.13289399999996,96.11344624864265,104.90857616532954
"192.168.11.9",58786,"216.58.220.130",443,50,7183,22,2863,28,4320,813.7804619999999,255.03465900000015,89.80740143244604,135.5109934293283
"192.168.11.9",58858,"52.113.194.132",443,49,18677,22,9889,27,8788,845.805118,162.93180300000006,485.5528420071554,431.4934144563537
"192.168.11.9",58866,"172.217.26.35",443,35,4608,16,2114,19,2494,848.753511,240.0727760000001,70.44530530192226,83.10813217738604
"192.168.11.9",58933,"20.190.141.194",443,26,12727,14,3721,12,9006,879.006173,0.4997409999999718,59566.85563122034,144170.68041246178
"192.168.11.9",58934,"20.190.141.226",443,77,74580,29,16092,48,58488,879.518595,124.10139000000004,1037.3453512486844,3770.3364966339204
"192.168.11.9",58936,"20.190.141.226",443,21,11055,12,4777,9,6278,879.521296,0.13722699999993893,278487.469667172,365992.1152544496
"192.168.11.9",58958,"161.69.45.107",443,63,24980,29,10656,34,14324,888.53009,63.20359000000008,1348.7841434323573,1813.0615681799065
"192.168.11.9",59003,"172.217.31.131",443,29,8174,15,2853,14,5321,908.747191,0.5150559999999587,44313.6280326835,82647.32378615804
"192.168.11.9",59037,"69.192.133.104",80,10,1046,6,551,4,495,924.521593,60.19441399999994,73.22938636797768,65.78683530335563
"192.168.11.9",59038,"184.27.173.220",80,13,5514,6,549,7,4965,924.521698,60.15900799999997,73.00652297990024,660.2502488072945
"192.168.11.9",59039,"23.67.73.114",443,23,9946,10,1067,13,8879,924.598922,60.12157000000002,141.9789935625433,1181.4728058498802
"192.168.11.9",59140,"133.130.87.212",80,88,91357,25,1732,63,89625,967.655051,0.06978600000002189,198549.85240586443,10274267.044962816
"192.168.11.9",59346,"138.91.140.216",443,36,18026,19,10066,17,7960,986.78739,212.75797699999998,378.49579665819067,299.30722644538025
"192.168.11.9",59387,"143.204.121.27",443,38,8849,17,2030,21,6819,1005.154105,240.03362300000015,67.65718817650804,227.2681606776396
"192.168.11.9",59399,"13.107.42.12",443,31,13501,13,2292,18,11209,1009.497909,125.83180499999992,145.71832614178913,712.6338209962105
"192.168.11.9",59430,"172.217.25.78",443,66,12797,31,6323,35,6474,1023.781022,412.486681,122.6318383841344,125.5604177920111
"192.168.11.9",59519,"52.242.231.33",443,615,515250,220,112029,395,403221,1065.027951,6.060680999999931,147876.45150767878,532245.138788865
"192.168.11.9",59524,"124.40.41.75",80,392,345897,147,16902,245,328995,1066.212389,3.976693999999952,34002.11331321988,661846.2471590802
"192.168.11.9",59527,"52.114.77.34",443,18,8278,10,3396,8,4882,1066.363854,1.13465599999995,23943.82085848151,34421.00513283473
"192.168.11.9",59539,"191.232.139.2",443,45,19798,25,14026,20,5772,1071.313543,8.297716000000037,13522.757346720411,5564.904848514916
"192.168.11.9",59540,"13.59.223.245",443,28,10241,13,3335,15,6906,1072.169491,60.84964499999978,438.45777571915323,907.9428483107863
"192.168.11.9",59543,"216.58.197.162",443,73,16168,33,11543,40,4625,1072.248815,246.57296700000006,374.5098301875079,150.0570011796954
"192.168.11.9",59545,"52.114.77.34",443,22,10457,12,5467,10,4990,1072.556906,1.4547720000000481,30063.817560413972,27440.72610690794
"192.168.11.9",59564,"52.229.175.79",443,21,4848,12,1264,9,3584,1080.088171,0.32698899999991227,30924.58767726961,87684.90683175181
"192.168.11.9",59567,"104.118.90.105",443,20,9042,9,1164,11,7878,1080.387364,0.08360600000014529,111379.56605965861,753821.4960635657
"192.168.11.9",59568,"104.118.90.105",443,20,8530,9,1421,11,7109,1080.639384,0.08037999999987733,141428.21597433876,707539.1888540284
"192.168.11.9",59570,"117.18.232.240",80,1019,1105610,296,17188,723,1088422,1080.758472,30.052897999999914,4575.39901809138,289734.98662258877
"192.168.11.9",59571,"117.18.232.240",80,778,778685,271,16745,507,761940,1080.793602,30.017553000000134,4462.722194577266,203065.18655934322
"192.168.11.9",59572,"52.114.77.34",443,23,11856,13,6509,10,5347,1081.126785,1.4831520000000182,35109.011079106764,28841.278574279288
"192.168.11.9",59578,"52.114.77.34",443,20,9027,11,4091,9,4936,1083.153843,1.1308289999999488,28941.599481443685,34919.51479843706
"192.168.11.9",59599,"216.58.220.142",443,58,14892,26,5018,32,9874,1091.665826,251.13345700000013,159.85126187308438,314.54192103125456
"192.168.11.9",59606,"52.114.77.34",443,18,8535,10,3653,8,4882,1094.389361,1.1876680000000306,24606.203080321477,32884.61085084299
"192.168.11.9",59613,"172.217.31.174",443,117,18168,53,8566,64,9602,1096.789097,488.077994,140.4037896451443,157.38468225223858
"192.168.11.9",59883,"172.217.26.35",443,36,4663,17,2169,19,2494,1148.712546,240.06081199999994,72.28168502570925,83.11227406828901
"192.168.11.9",59974,"172.217.24.138",443,28,7389,14,1631,14,5758,1190.208375,30.233494000000064,431.57433275823075,1523.6082207369052
"192.168.11.9",59975,"52.139.153.205",443,24,8291,13,1502,11,6789,1190.326046,30.11566800000014,398.9949683334251,1803.4466311688568
"192.168.11.9",59978,"64.233.189.108",993,133,109227,47,3340,86,105887,1190.497529,29.94451099999992,892.317126167132,28288.857346844045
"192.168.11.9",59982,"74.125.203.109",465,22,4817,10,900,12,3917,1191.512439,0.9163639999999305,7857.139739230858,34196.01817618586
"192.168.11.9",60231,"143.204.121.5",443,34,3575,17,1955,17,1620,1305.218707,240.02704900000003,65.1593229394742,53.99391466084307
"192.168.11.9",60703,"172.217.26.14",443,39,6993,18,2855,21,4138,1448.614486,240.25847700000008,95.06428362150982,137.78494067453857
"192.168.11.9",60704,"172.217.26.35",443,71,7439,31,3249,40,4190,1448.662399,540.293097,48.10722206950573,62.04040026815297
"192.168.11.9",60745,"172.217.25.202",443,42,11058,19,3333,23,7725,1467.800536,240.28524199999993,110.9681134724038,257.19432240453625
"192.168.11.9",60835,"172.217.161.65",443,39,8806,18,2229,21,6577,1504.999235,240.07846100000006,74.27571772046637,219.16168481269958
"192.168.11.9",60886,"216.58.220.142",443,85,12546,37,5941,48,6605,1528.051938,463.169361,102.61473232466255,114.08353930388759
"192.168.11.9",60887,"172.217.31.131",443,71,21053,34,14099,37,6954,1528.054131,241.54663499999992,466.9574469542912,230.31577318392374
"192.168.11.9",60888,"172.217.161.65",443,135,108273,48,4044,87,104229,1528.236517,240.82451500000002,134.33848294057603,3462.404979825247
"192.168.11.9",60892,"216.58.197.174",443,36,5059,17,2548,19,2511,1529.25475,240.21436799999992,84.85753857987382,83.62530587679088
"192.168.11.9",60920,"172.217.24.142",443,37,5988,18,2923,19,3065,1541.88868,240.06588199999987,97.40659441144582,102.13862876191634
"192.168.11.9",61050,"52.139.153.205",443,22,6568,12,2000,10,4568,1600.259545,0.3300400000000536,48478.97224578051,110725.9726093627
"192.168.11.9",61061,"143.204.121.27",443,33,3556,15,1847,18,1709,1605.279419,240.02649799999995,61.55986994402594,56.960377766291465
"192.168.11.9",61099,"168.62.57.154",443,40,24509,23,18424,17,6085,1621.185679,1.1553040000001147,127578.5420979979,42136.09578084657
"192.168.11.9",61107,"172.217.25.78",443,66,12890,31,6330,35,6560,1623.787761,413.55805699999996,122.44955488800936,126.89874882548838
"192.168.11.9",61261,"99.84.194.193",443,19,7687,9,934,10,6753,1691.903815,1.1349310000000514,6583.660152026565,47601.131698753095
"192.168.11.9",61274,"99.84.194.229",443,19,6760,9,999,10,5761,1698.076264,1.4050869999998667,5687.904023025449,32800.81589254215
"192.168.11.9",61277,"99.84.194.229",443,21,10420,10,1005,11,9415,1698.767106,0.7144599999999173,11253.254205975045,105422.2769644329
"192.168.11.9",61387,"216.58.220.142",443,69,15461,30,8837,39,6624,1749.927001,241.78533599999992,292.39159483187194,219.16961912032588
"192.168.11.9",61461,"168.63.154.101",443,22,12008,11,2791,11,9217,1782.325849,0.306583000000046,72828.56518462097,240509.09541621333
"192.168.11.9",61764,"23.67.72.40",80,10,1113,6,617,4,496,1842.515149,60.099911999999904,82.12990395060825,66.02339118233661
"192.168.11.9",61765,"104.18.21.226",80,10,1199,6,547,4,652,1842.580232,60.02443799999992,72.9036396808914,86.89793980245192
"192.168.11.9",61792,"3.235.72.255",443,19,8468,9,2832,10,5636,1854.554187,65.74328700000001,344.6131313756794,685.8190707744807
"192.168.11.9",61897,"168.63.154.101",443,23,12382,12,2979,11,9403,1902.051643,0.31329200000004676,76069.60918247655,240108.26960148607
"192.168.11.9",61900,"168.63.154.101",443,19,9240,10,1348,9,7892,1902.307852,0.2943150000000969,36641.01387967466,214518.45811453447
"192.168.11.9",61907,"143.204.121.37",443,25,3015,13,1739,12,1276,1905.339964,225.11381800000004,61.799849176739556,45.34595028724535
"192.168.11.9",62026,"52.113.194.132",443,25,3952,12,2376,13,1576,1957.802789,125.7439109999998,151.16437725561144,100.26728053655036
"192.168.11.9",62123,"216.58.220.142",443,32,7360,15,3332,17,4028,1998.344313,135.2872910000001,197.03255052982013,238.18940982416433
"192.168.11.9",62237,"172.217.26.35",443,22,3798,10,1786,12,2012,2048.708264,45.07869900000014,316.9567959359243,357.06443080799534
"192.168.11.9",62255,"40.74.219.49",443,21,11475,11,4181,10,7294,2057.27596,45.74661100000003,731.1579867632157,1275.5480400504414
"192.168.11.9",62407,"13.59.223.76",443,21,11596,10,3142,11,8454,2127.138778,0.729577000000063,34452.84048153633,92700.29071639341
"192.168.11.9",62418,"3.21.213.80",443,22,11449,10,2956,12,8493,2132.045174,0.7297060000000783,32407.57236475712,93111.47229157045
